S,ID,E,N,RTK_true,depth_begin_cm,depth_end_cm,thickness,N,OC,pH,%CF,%sand,%silt,%clay,BD_f,BD_m,CaCO3_true,c_root %,f_root %,t_root%
2,J4,517745.007,4782064.322,1,20,30,0.1,0.05,0.72,NaN,22,NaN,NaN,NaN,NaN,1488,0,0.48,0.07,0.55
3,A1,521710.356,4773122.268,1,0,5,0.05,0.58,8.38,6.20,14,0.28,0.71,0.00,NaN,518,0,8.73,NaN,NaN
3,A2,521710.356,4773122.268,1,5,0,0.05,0.59,7.77,6.18,11,0.17,0.78,0.05,NaN,531,0,7.49,NaN,NaN
3,A3A,521710.356,4773122.268,1,10,20,0.1,0.34,3.41,6.14,9,NaN,NaN,NaN,548,693,0,0.95,0.04,0.99
3,A3B,521710.356,4773122.268,1,10,20,0.1,0.34,3.41,6.14,9,NaN,NaN,NaN,564,693,0,0.95,0.04,0.99
3,A3C,521710.356,4773122.268,1,10,20,0.1,0.34,3.41,6.14,9,NaN,NaN,NaN,515,693,0,0.95,0.04,0.99
3,A4A,521710.356,4773122.268,1,20,30,0.1,0.31,3.33,5.79,13,0.14,0.82,0.04,546,699,0,0.89,0.11,1.00
3,A4B,521710.356,4773122.268,1,20,30,0.1,0.31,3.33,5.79,13,NaN,NaN,NaN,610,699,0,0.89,0.11,1.00
3,A4C,521710.356,4773122.268,1,20,30,0.1,0.31,3.33,5.79,13,NaN,NaN,NaN,637,699,0,0.89,0.11,1.00
3,A5A,521710.356,4773122.268,1,30,40,0.1,0.32,3.16,5.81,11,NaN,NaN,NaN,518,711,0,1.77,0.08,1.85
3,A5B,521710.356,4773122.268,1,30,40,0.1,0.28,3.20,5.81,9,NaN,NaN,NaN,610,708,0,1.65,0.12,1.76
3,A5C,521710.356,4773122.268,1,30,40,0.1,0.28,3.20,5.81,14,NaN,NaN,NaN,617,708,0,1.53,0.11,1.64
3,A6A,521710.356,4773122.268,1,40,50,0.1,0.27,2.90,5.74,18,NaN,NaN,NaN,599,731,0,1.47,0.08,1.55
3,A6B,521710.356,4773122.268,1,40,50,0.1,0.25,2.83,5.74,12,NaN,NaN,NaN,588,737,0,1.46,0.04,1.50
3,A6C,521710.356,4773122.268,1,40,50,0.1,0.31,2.97,5.74,10,NaN,NaN,NaN,531,725,0,1.57,0.13,1.70
3,B1,521711.856,4773123.268,1,0,5,0.05,1.06,17.23,NaN,5,NaN,NaN,NaN,NaN,410,0,28.01,NaN,NaN
3,B2,521711.856,4773123.268,1,5,0,0.05,0.81,13.60,NaN,4,NaN,NaN,NaN,NaN,443,0,19.13,6.37,25.50
3,B3,521711.856,4773123.268,1,10,20,0.1,0.42,5.02,NaN,15,NaN,NaN,NaN,NaN,612,0,2.77,0.00,2.77
3,B4,521711.856,4773123.268,1,20,30,0.1,0.40,4.23,NaN,8,NaN,NaN,NaN,NaN,647,0,1.51,0.00,1.51
3,C1,521729.056,4773118.968,1,0,5,0.05,0.48,6.24,NaN,10,NaN,NaN,NaN,NaN,570,0,2.76,0.63,3.39
3,C2,521729.056,4773118.968,1,5,0,0.05,0.34,4.38,NaN,47,NaN,NaN,NaN,NaN,640,0,0.98,0.57,1.55
3,C3,521729.056,4773118.968,1,10,20,0.1,0.25,2.99,NaN,33,NaN,NaN,NaN,NaN,724,0,0.94,0.19,1.13
3,C4,521729.056,4773118.968,1,20,30,0.1,0.21,2.16,NaN,42,NaN,NaN,NaN,NaN,804,0,1.07,NaN,NaN
3,D1,521729.856,4773118.268,1,0,5,0.05,0.38,4.82,NaN,8,NaN,NaN,NaN,NaN,620,0,1.52,0.69,2.22
3,D2,521729.856,4773118.268,1,5,0,0.05,0.31,4.06,NaN,54,NaN,NaN,NaN,NaN,655,0,0.60,0.27,0.87
3,D3,521729.856,4773118.268,1,10,20,0.1,0.28,3.67,NaN,48,NaN,NaN,NaN,NaN,678,0,0.94,0.18,1.12
3,D4,521729.856,4773118.268,1,20,30,0.1,0.27,3.29,NaN,64,NaN,NaN,NaN,NaN,702,0,0.54,0.36,0.90
3,E1,521695.856,4773137.868,1,0,5,0.05,0.48,6.27,NaN,9,NaN,NaN,NaN,NaN,569,0,2.36,0.97,3.33
3,E2,521695.856,4773137.868,1,5,0,0.05,0.34,4.54,NaN,11,NaN,NaN,NaN,NaN,632,0,1.16,0.53,1.69
3,E3,521695.856,4773137.868,1,10,20,0.1,0.25,3.37,NaN,5,NaN,NaN,NaN,NaN,696,0,1.04,0.13,1.17
3,E4,521695.856,4773137.868,1,20,30,0.1,0.23,2.62,NaN,22,NaN,NaN,NaN,NaN,755,0,1.41,0.06,1.47
3,F1,521696.356,4773138.268,1,0,5,0.05,0.46,5.55,NaN,10,NaN,NaN,NaN,NaN,592,0,1.47,0.35,1.82
3,F2,521696.356,4773138.268,1,5,0,0.05,0.34,4.37,NaN,11,NaN,NaN,NaN,NaN,640,0,0.76,0.46,1.22
3,F3,521696.356,4773138.268,1,10,20,0.1,0.31,3.74,NaN,9,NaN,NaN,NaN,NaN,673,0,1.08,0.18,1.26
3,F4,521696.356,4773138.268,1,20,30,0.1,0.25,2.94,NaN,18,NaN,NaN,NaN,NaN,728,0,1.09,0.13,1.22
3,G1,521731.856,4773117.268,1,0,5,0.05,0.36,4.00,NaN,15,NaN,NaN,NaN,NaN,659,0,0.90,0.39,1.29
3,G2,521731.856,4773117.268,1,5,0,0.05,0.30,3.49,NaN,22,NaN,NaN,NaN,NaN,688,0,1.04,0.16,1.20
3,G3,521731.856,4773117.268,1,10,20,0.1,0.39,4.71,NaN,14,NaN,NaN,NaN,NaN,625,0,1.19,0.18,1.38
3,G4,521731.856,4773117.268,1,20,30,0.1,0.25,2.70,NaN,15,NaN,NaN,NaN,NaN,748,0,1.19,0.12,1.31
3,H1,521730.356,4773116.268,1,0,5,0.05,0.55,7.42,NaN,10,NaN,NaN,NaN,NaN,539,0,4.29,0.83,5.12
3,H2,521730.356,4773116.268,1,5,0,0.05,0.24,3.45,NaN,10,NaN,NaN,NaN,NaN,691,0,9.90,0.68,10.59
3,H3,521730.356,4773116.268,1,10,20,0.1,0.28,3.18,NaN,23,NaN,NaN,NaN,NaN,709,0,0.98,0.06,1.05
3,H4,521730.356,4773116.268,1,20,30,0.1,0.26,2.97,NaN,25,NaN,NaN,NaN,NaN,726,0,0.84,0.18,1.02
3,I1,521733.356,4773142.568,1,0,5,0.05,0.56,6.34,NaN,9,NaN,NaN,NaN,NaN,567,0,1.21,0.74,1.95
3,I2,521733.356,4773142.568,1,5,0,0.05,0.36,3.78,NaN,11,NaN,NaN,NaN,NaN,671,0,1.07,0.14,1.21
3,I3,521733.356,4773142.568,1,10,20,0.1,0.29,3.43,NaN,14,NaN,NaN,NaN,NaN,692,0,0.96,0.12,1.08
3,I4,521733.356,4773142.568,1,20,30,0.1,0.58,10.79,NaN,13,NaN,NaN,NaN,NaN,478,0,0.91,0.10,1.00
3,J1,521730.956,4773141.268,1,0,5,0.05,0.74,9.73,NaN,10,NaN,NaN,NaN,NaN,494,0,3.68,1.89,5.56
3,J2,521730.956,4773141.268,1,5,0,0.05,0.36,3.52,NaN,13,NaN,NaN,NaN,NaN,687,0,1.16,0.19,1.35
3,J3,521730.956,4773141.268,1,10,20,0.1,0.27,2.98,NaN,12,NaN,NaN,NaN,NaN,724,0,0.93,0.10,1.02
3,J4,521730.956,4773141.268,1,20,30,0.1,0.28,3.03,NaN,14,NaN,NaN,NaN,NaN,721,0,1.35,0.11,1.47
4,A1A,523629.062,4777567.458,1,0,5,0.05,0.13,1.18,7.24,34,0.38,0.48,0.13,909,979,1,0.66,NaN,NaN
4,A2A,523629.062,4777567.458,1,5,0,0.05,0.13,0.96,7.66,58,0.30,0.30,0.40,909,1044,1,0.34,NaN,NaN
4,A3A,523629.062,4777567.458,1,10,20,0.1,0.11,0.78,7.70,45,0.32,0.49,0.19,943,1121,1,0.55,NaN,NaN
4,A4A,523629.062,4777567.458,1,20,30,0.1,0.11,0.77,7.41,47,0.37,0.21,0.42,943,1125,1,0.49,NaN,NaN
4,A5A,523629.062,4777567.458,1,30,40,0.1,NaN,NaN,7.51,52,NaN,NaN,NaN,NaN,NaN,1,0.44,0.05,0.49
4,A6A,523629.062,4777567.458,1,40,50,0.1,NaN,NaN,8.24,37,NaN,NaN,NaN,NaN,NaN,1,0.44,0.02,0.46
4,A1B,523629.062,4777567.458,1,0,5,0.05,0.13,1.19,NaN,32,NaN,NaN,NaN,859,975,1,0.94,0.48,1.42
4,A2B,523629.062,4777567.458,1,5,0,0.05,0.13,0.98,NaN,37,NaN,NaN,NaN,859,1040,1,0.53,0.10,0.63
4,A3B,523629.062,4777567.458,1,10,20,0.1,0.09,0.69,NaN,52,NaN,NaN,NaN,722,1163,1,0.44,0.07,0.51
4,A4B,523629.062,4777567.458,1,20,30,0.1,0.08,0.61,NaN,53,NaN,NaN,NaN,722,1214,1,0.44,0.20,0.64
4,A5B,523629.062,4777567.458,1,30,40,0.1,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,1,0.36,0.08,0.45
4,A6B,523629.062,4777567.458,1,40,50,0.1,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,1,0.35,0.13,0.48
4,A1C,523629.062,4777567.458,1,0,5,0.05,0.14,1.43,NaN,20,NaN,NaN,NaN,1036,918,1,1.68,NaN,NaN
4,A2C,523629.062,4777567.458,1,5,0,0.05,0.14,0.88,NaN,47,NaN,NaN,NaN,1036,1074,1,0.62,NaN,NaN
4,A3C,523629.062,4777567.458,1,10,20,0.1,0.10,0.69,NaN,45,NaN,NaN,NaN,643,1163,1,0.62,NaN,NaN
4,A4C,523629.062,4777567.458,1,20,30,0.1,0.10,0.70,NaN,49,NaN,NaN,NaN,643,1161,1,0.48,NaN,NaN
4,A5C,523629.062,4777567.458,1,30,40,0.1,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,1,0.51,0.04,0.54
4,A6C,523629.062,4777567.458,1,40,50,0.1,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,1,0.40,NaN,NaN
